["GET"] ["/app.js"] ["2016-04-16T00:40:53.438Z"] [{"host":"localhost:3000","connection":"keep-alive","accept":"*/*","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","referer":"http://localhost:3000/","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/css/cityscape.jpg"] ["2016-04-16T00:40:53.506Z"] [{"host":"localhost:3000","connection":"keep-alive","accept":"image/webp,image/*,*/*;q=0.8","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","referer":"http://localhost:3000/css/styles.css","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8","if-none-match":"W/\"90218-1541b61ec78\"","if-modified-since":"Fri, 15 Apr 2016 19:24:43 GMT"}]

["GET"] ["/articles"] ["2016-04-16T00:40:55.035Z"] [{"host":"localhost:3000","connection":"keep-alive","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","referer":"http://localhost:3000/","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8","if-none-match":"W/\"17b-JdseVBCLxMg5FAeZ5q3dkQ\""}]

["GET"] ["/login"] ["2016-04-16T00:43:33.019Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T00:43:33.858Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T00:43:35.021Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T00:43:38.934Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:15:12.781Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:15:14.269Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:15:14.841Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:16:19.456Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:16:46.157Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8","if-none-match":"W/\"37-/RTfRsxHxLvIQN7klKiiHQ\""}]

["GET"] ["/login"] ["2016-04-16T01:17:25.692Z"] [{"host":"localhost:3000","connection":"keep-alive","cache-control":"max-age=0","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8","if-none-match":"W/\"74-+4O/HeO6E6ZPtN/KvEUgow\""}]

["GET"] ["/login"] ["2016-04-16T01:17:33.311Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:17:40.239Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"0","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:18:39.266Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:18:40.868Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:18:45.651Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:20:11.327Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:20:22.054Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:20:45.492Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/products"] ["2016-04-16T01:20:46.238Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:20:51.122Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:20:56.113Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:21:39.317Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:24:26.218Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:27:02.693Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:27:54.793Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:28:04.285Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

["GET"] ["/login"] ["2016-04-16T01:28:35.789Z"] [{"host":"localhost:3000","connection":"keep-alive","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","accept-encoding":"gzip, deflate, sdch","accept-language":"en-US,en;q=0.8"}]

["POST"] ["/login"] ["2016-04-16T01:28:40.309Z"] [{"host":"localhost:3000","connection":"keep-alive","content-length":"29","pragma":"no-cache","cache-control":"no-cache","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8","origin":"http://localhost:3000","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","content-type":"application/x-www-form-urlencoded","referer":"http://localhost:3000/login","accept-encoding":"gzip, deflate","accept-language":"en-US,en;q=0.8"}]

